Fuel,BRL/ktep
Petroleo,1462689.374
Oleo diesel,2332547.17
Biodiesel,2332547.17
Oleo combustivel,1339602.926
Gasolina,2505194.805
Alcool,4372549.02
GLP,1253970.54
Gas natural,515772.7273
Carvao vapor,524702.2621
Eletricidade,1790697.674
Querosene,2813868.613
Carvao vegetal,68319.54334
Lenha,73276.53881
Produtos da cana,218484.5614
Outras fontes primarias,800000
Outras fontes secundarias,800000
Gas de coqueria,506876.087
Coque metalurgico,506876.087
Coque de petroleo,800000
Alcatrao,800000
Carvao mineral,409295.5905
Residuos industriais nao perigosos,216000
Residuos industriais perigosos, 216000
CDR,216000
Pneus,216000
Residuos agricolas, 216000
Esgoto, 216000
